Porter,Original,Lancaster,Snowball
chemic,"['chemicals', 'chemically']","['chem', 'chem']","['chemic', 'chemic']"
cheng,['cheng'],['cheng'],['cheng']
chernishev,['chernishev'],['chernishev'],['chernishev']
cherri,['cherries'],['cherry'],['cherri']
chic,['chic'],['chic'],['chic']
child,['child'],['child'],['child']
chirp,['chirped'],['chirp'],['chirp']
chivalri,['chivalry'],['chivalry'],['chivalri']
cholelithiasi,['cholelithiasis'],['cholelithias'],['cholelithiasi']
chord,['chords'],['chord'],['chord']
choreograph,['choreographed'],['choreograph'],['choreograph']
chou,['chou'],['chou'],['chou']
chow,['chow'],['chow'],['chow']
christian,['christianity'],['christianity'],['christian']
chrome,['chromed'],['chromed'],['chrome']
chrysanthemum,['chrysanthemums'],['chrysanthemums'],['chrysanthemum']
chum,['chum'],['chum'],['chum']
churchil,['churchills'],['churchil'],['churchil']
cicero,['ciceros'],['cicero'],['cicero']
cigar,['cigars'],['cig'],['cigar']
cimabu,['cimabue'],['cimabu'],['cimabu']
cinemactor,['cinemactor'],['cinemact'],['cinemactor']
circl,['circled'],['circ'],['circl']
circonscript,['circonscriptions'],['circonscrib'],['circonscript']
circuit,['circuitous'],['circuit'],['circuit']
circul,"['circulated', 'circulating']","['circ', 'circ']","['circul', 'circul']"
citat,['citations'],['cit'],['citat']
citroen,['citroen'],['citro'],['citroen']
citywid,['citywide'],['citywid'],['citywid']
civil,['civilizations'],['civil'],['civil']
clad,['clad'],['clad'],['clad']
claim,['claimed'],['claim'],['claim']
clam,['clam'],['clam'],['clam']
clara,['clara'],['clar'],['clara']
clasp,['clasping'],['clasp'],['clasp']
classiest,['classiest'],['classiest'],['classiest']
claudia,['claudias'],['claudia'],['claudia']
claudio,['claudio'],['claudio'],['claudio']
claus,['clauses'],['claus'],['claus']
claw,"['clawed', 'clawing']","['claw', 'claw']","['claw', 'claw']"
cleav,['cleaved'],['cleav'],['cleav']
clement,['clement'],['cle'],['clement']
clergi,['clergy'],['clergy'],['clergi']
clergymen,['clergymen'],['clergym'],['clergymen']
climax,['climax'],['climax'],['climax']
clinch,['clinched'],['clinch'],['clinch']
clinic,['clinically'],['clin'],['clinic']
clip,['clipped'],['clip'],['clip']
cloak,['cloak'],['cloak'],['cloak']
clod,['clod'],['clod'],['clod']
close,['closeness'],['clos'],['close']
closet,['closet'],['closet'],['closet']
clostridium,['clostridium'],['clostrid'],['clostridium']
clotheslin,"['clothesline', 'clotheslines']","['clotheslin', 'clotheslin']","['clotheslin', 'clotheslin']"
clown,['clown'],['clown'],['clown']
clubroom,['clubrooms'],['clubroom'],['clubroom']
cluck,['clucking'],['cluck'],['cluck']
clump,['clump'],['clump'],['clump']
cluster,['clustered'],['clust'],['cluster']
coachwork,['coachwork'],['coachwork'],['coachwork']
coalesc,['coalesce'],['coalesc'],['coalesc']
coconut,['coconuts'],['coconut'],['coconut']
coddl,['coddled'],['coddl'],['coddl']
codedtf,['codedtf'],['codedtf'],['codedtf']
coeffici,['coefficients'],['coefficy'],['coeffici']
cohen,['cohen'],['coh'],['cohen']
coher,['coherence'],['coh'],['coher']
cohes,['cohesively'],['coher'],['cohes']
coincid,['coincided'],['coincid'],['coincid']
collaps,['collapsible'],['collaps'],['collaps']
collar,['collars'],['coll'],['collar']
colleagu,['colleagues'],['colleagu'],['colleagu']
collect,['collective'],['collect'],['collect']
colleg,['colleges'],['colleg'],['colleg']
collett,['collett'],['collet'],['collett']
colloid,['colloidal'],['colloid'],['colloid']
colmer,['colmer'],['colm'],['colmer']
coloni,['colonial'],['colon'],['coloni']
colonialist,['colonialist'],['colon'],['colonialist']
colorless,['colorless'],['colorless'],['colorless']
columbin,['columbines'],['columbin'],['columbin']
columbu,['columbus'],['columb'],['columbus']
combat,['combatant'],['comb'],['combat']
comedian,['comedian'],['com'],['comedian']
command,['command'],['command'],['command']
commend,['commending'],['commend'],['commend']
comment,"['commentator', 'comments']","['com', 'com']","['comment', 'comment']"
commerc,['commerce'],['commerc'],['commerc']
commit,['commitments'],['commit'],['commit']
committeewoman,['committeewoman'],['committeewom'],['committeewoman']
common,['commoner'],['common'],['common']
commonli,['commonly'],['common'],['common']
commun,['communities'],['commun'],['communiti']
communisn,['communisn'],['communisn'],['communisn']
commut,['commutes'],['commut'],['commut']
compact,['compacts'],['compact'],['compact']
companion,"['companion', 'companions']","['comp', 'comp']","['companion', 'companion']"
comparison,['comparisons'],['comparison'],['comparison']
compel,['compel'],['compel'],['compel']
compens,['compensated'],['compens'],['compens']
complain,['complains'],['complain'],['complain']
complementari,['complementary'],['compl'],['complementari']
complex,['complexes'],['complex'],['complex']
complianc,['compliance'],['comply'],['complianc']
compliment,['compliment'],['comply'],['compliment']
comport,['comported'],['comport'],['comport']
comprehens,['comprehension'],['comprehend'],['comprehens']
compress,['compressibility'],['compress'],['compress']
compris,['comprising'],['compr'],['compris']
compuls,"['compulsives', 'compulsions']","['compuls', 'compuls']","['compuls', 'compuls']"
con,['con'],['con'],['con']
concentr,"['concentrated', 'concentration']","['cont', 'cont']","['concentr', 'concentr']"
conceptu,['conceptual'],['conceiv'],['conceptu']
concern,['concerned'],['concern'],['concern']
concessionair,['concessionaire'],['concessionair'],['concessionair']
concili,['conciliate'],['cont'],['concili']
concis,['concise'],['cont'],['concis']
concord,['concorde'],['concord'],['concord']
concur,['concurred'],['concur'],['concur']
concurr,"['concurrence', 'concurrently']","['concur', 'concur']","['concurr', 'concurr']"
condemn,['condemned'],['condemn'],['condemn']
conduct,['conduct'],['conduc'],['conduct']
conductor,['conductors'],['conduc'],['conductor']
conduit,['conduit'],['conduit'],['conduit']
cone,['cone'],['con'],['cone']
coney,['coney'],['coney'],['coney']
confess,['confessions'],['confess'],['confess']
confid,['confiding'],['confid'],['confid']
configur,"['configuration', 'configurations']","['config', 'config']","['configur', 'configur']"
confirm,['confirmation'],['confirm'],['confirm']
conflict,['conflict'],['conflict'],['conflict']
conform,['conforms'],['conform'],['conform']
confound,['confounding'],['confound'],['confound']
confus,['confusion'],['confus'],['confus']
congeal,['congealed'],['cong'],['congeal']
congenit,['congenital'],['congenit'],['congenit']
conjug,['conjugate'],['conjug'],['conjug']
conjur,"['conjure', 'conjures']","['cond', 'cond']","['conjur', 'conjur']"
connect,"['connecting', 'connect']","['connect', 'connect']","['connect', 'connect']"
connor,['connor'],['con'],['connor']
connot,['connotations'],['connot'],['connot']
conquer,"['conquered', 'conquering']","['conqu', 'conqu']","['conquer', 'conquer']"
conquest,['conquests'],['conquest'],['conquest']
conscienti,['conscientious'],['conscienty'],['conscienti']
conscious,['consciousness'],['conscy'],['conscious']
consent,['consented'],['cons'],['consent']
consider,['consideration'],['consid'],['consider']
consist,['consists'],['consist'],['consist']
consolid,['consolidate'],['consolid'],['consolid']
constabl,['constables'],['const'],['constabl']
constanc,['constancy'],['const'],['constanc']
constantino,['constantino'],['constantino'],['constantino']
constitut,['constituted'],['constitut'],['constitut']
constrain,['constrained'],['constrain'],['constrain']
constrict,"['constricted', 'constricting']","['constrict', 'constrict']","['constrict', 'constrict']"
contain,['contains'],['contain'],['contain']
contamin,['contaminate'],['contamin'],['contamin']
contend,['contended'],['contend'],['contend']
context,['context'],['context'],['context']
continu,"['continuation', 'continually']","['continu', 'contin']","['continu', 'continu']"
continuo,['continuo'],['continuo'],['continuo']
contour,['contours'],['conto'],['contour']
contracept,['contraceptive'],['contraceiv'],['contracept']
contradict,['contradicted'],['contradict'],['contradict']
contralto,['contralto'],['contralto'],['contralto']
contrarieti,['contrarieties'],['cont'],['contrarieti']
contribut,['contributions'],['contribut'],['contribut']
contributori,['contributory'],['contribut'],['contributori']
contrit,['contrite'],['contrit'],['contrit']
contriv,['contrivances'],['cont'],['contriv']
control,['controlled'],['control'],['control']
contus,['contusions'],['contud'],['contus']
convalesc,['convalescence'],['convalesc'],['convalesc']
convent,['conventions'],['conv'],['convent']
convey,['conveys'],['convey'],['convey']
conveyor,['conveyor'],['convey'],['conveyor']
convinc,['convince'],['convint'],['convinc']
convuls,['convulsed'],['convuls'],['convuls']
cook,['cooke'],['cook'],['cook']
cooki,['cookie'],['cooky'],['cooki']
cool,['coolnesses'],['cool'],['cool']
coomb,['coombs'],['coomb'],['coomb']
cooper,['cooperatives'],['coop'],['cooper']
coordin,"['coordinating', 'coordinates']","['coordin', 'coordin']","['coordin', 'coordin']"
cope,['coping'],['cop'],['cope']
copi,"['copying', 'copy']","['cop', 'cop']","['copi', 'copi']"
copolym,['copolymers'],['copolym'],['copolym']
copybook,['copybooks'],['copybook'],['copybook']
cord,['cord'],['cord'],['cord']
corduroy,['corduroy'],['corduroy'],['corduroy']
core,['core'],['cor'],['core']
corinthian,"['corinthian', 'corinthians']","['corinth', 'corinth']","['corinthian', 'corinthian']"
coriolanu,['coriolanus'],['coriolan'],['coriolanus']
cork,"['corked', 'corks']","['cork', 'cork']","['cork', 'cork']"
corn,['corne'],['corn'],['corn']
corneilu,['corneilus'],['corneil'],['corneilus']
corollari,['corollaries'],['corol'],['corollari']
coron,['coronation'],['coron'],['coron']
coronado,['coronado'],['coronado'],['coronado']
coronari,['coronaries'],['coron'],['coronari']
corp,['corp'],['corp'],['corp']
corpor,['corporation'],['corp'],['corpor']
correctli,['correctly'],['correct'],['correct']
correl,['correlatively'],['correl'],['correl']
cortic,['cortically'],['cort'],['cortic']
costaggini,"['costaggini', 'costagginis']","['costaggin', 'costaggin']","['costaggini', 'costaggini']"
couch,['couches'],['couch'],['couch']
counsel,['counseling'],['counsel'],['counsel']
count,['count'],['count'],['count']
counter,['counter'],['count'],['counter']
counterbalanc,['counterbalancing'],['counterb'],['counterbalanc']
counterfeit,['counterfeit'],['counterfeit'],['counterfeit']
counterpoint,['counterpoint'],['counterpoint'],['counterpoint']
countri,['country'],['country'],['countri']
coup,"['coupe', 'coups']","['coup', 'coup']","['coup', 'coup']"
couperin,['couperin'],['couperin'],['couperin']
coupler,['couplers'],['coupl'],['coupler']
coupon,['coupons'],['coupon'],['coupon']
courag,['courageously'],['cour'],['courag']
court,['courts'],['court'],['court']
cove,['cove'],['cov'],['cove']
cover,['cover'],['cov'],['cover']
covet,['covetousness'],['covet'],['covet']
cowhandd,['cowhandd'],['cowhand'],['cowhandd']
cowork,['coworkers'],['cowork'],['cowork']
cowponi,['cowpony'],['cowpony'],['cowponi']
cradl,['cradle'],['cradl'],['cradl']
craft,['crafts'],['craft'],['craft']
craggi,['craggy'],['craggy'],['craggi']
craig,['craigs'],['craig'],['craig']
creak,['creaks'],['creak'],['creak']
cream,"['creamed', 'cream']","['cream', 'cream']","['cream', 'cream']"
credibl,['credibly'],['cred'],['credibl']
credit,['creditable'],['credit'],['credit']
creon,['creon'],['creon'],['creon']
crescent,['crescent'],['cresc'],['crescent']
crest,['crests'],['crest'],['crest']
crime,['crime'],['crim'],['crime']
crimin,['criminals'],['crimin'],['crimin']
cring,['cringed'],['cring'],['cring']
crinkl,['crinkles'],['crinkl'],['crinkl']
crise,['crises'],['cris'],['crise']
crisp,['crisp'],['crisp'],['crisp']
critic,['criticizing'],['crit'],['critic']
critiqu,['critique'],['crit'],['critiqu']
croakin,['croakin'],['croakin'],['croakin']
crock,['crocked'],['crock'],['crock']
crook,['crooks'],['crook'],['crook']
croon,"['crooned', 'crooning']","['croon', 'croon']","['croon', 'croon']"
crouch,['crouching'],['crouch'],['crouch']
crown,['crowned'],['crown'],['crown']
crudest,['crudest'],['crudest'],['crudest']
cruditi,['crudity'],['crud'],['cruditi']
cruel,['cruel'],['cruel'],['cruel']
crumbl,['crumbled'],['crumbl'],['crumbl']
crypt,['crypt'],['crypt'],['crypt']
crystal,['crystals'],['cryst'],['crystal']
crystallograph,['crystallographic'],['crystallograph'],['crystallograph']
cubbyhol,['cubbyhole'],['cubbyhol'],['cubbyhol']
cube,['cube'],['cub'],['cube']
cubist,['cubist'],['cub'],['cubist']
cudgel,['cudgels'],['cudgel'],['cudgel']
culprit,['culprits'],['culprit'],['culprit']
cultur,['cultural'],['cult'],['cultur']
cumul,['cumulative'],['cum'],['cumul']
cuppli,['cupply'],['cupply'],['cuppli']
curi,['cury'],['cury'],['curi']
curios,['curiosity'],['curios'],['curios']
curious,['curiously'],['cury'],['curious']
current,['current'],['cur'],['current']
curs,['cursing'],['curs'],['curs']
curti,['curtis'],['curt'],['curti']
cusa,['cusa'],['cus'],['cusa']
cushion,['cushion'],['cush'],['cushion']
custom,['customer'],['custom'],['custom']
customari,['customary'],['custom'],['customari']
cut,['cutting'],['cut'],['cut']
cute,['cute'],['cut'],['cute']
cutlass,['cutlass'],['cutlass'],['cutlass']
cutoff,['cutoff'],['cutoff'],['cutoff']
cycli,['cycly'],['cyc'],['cyc']
cyclohexanol,['cyclohexanol'],['cyclohexanol'],['cyclohexanol']
cypress,['cypress'],['cypress'],['cypress']
cyru,['cyrus'],['cyr'],['cyrus']
czarina,['czarina'],['czarin'],['czarina']
czerni,['czerny'],['czerny'],['czerni']
dab,['dabbed'],['dab'],['dab']
dabbl,['dabbled'],['dabbl'],['dabbl']
daddi,['daddys'],['daddy'],['daddi']
dade,['dades'],['dad'],['dade']
daer,['daer'],['daer'],['daer']
dager,['dagers'],['dag'],['dager']
dais,['daises'],['dais'],['dais']
dale,['dale'],['dal'],['dale']
dalloway,['dalloway'],['dalloway'],['dalloway']
dam,['dam'],['dam'],['dam']
dame,['dame'],['dam'],['dame']
dampen,['dampening'],['damp'],['dampen']
danburi,['danbury'],['danbury'],['danburi']
dancelik,['dancelike'],['dancelik'],['dancelik']
dangl,['dangling'],['dangl'],['dangl']
daniel,['daniel'],['daniel'],['daniel']
dare,['dared'],['dar'],['dare']
darn,['darn'],['darn'],['darn']
darrow,['darrow'],['darrow'],['darrow']
darwen,['darwen'],['darw'],['darwen']
darwin,['darwinism'],['darwin'],['darwin']
datelin,['datelined'],['datelin'],['datelin']
dawn,['dawning'],['dawn'],['dawn']
day,['day'],['day'],['day']
dealt,['dealt'],['dealt'],['dealt']
dear,['dear'],['dear'],['dear']
dearborn,['dearborn'],['dearborn'],['dearborn']
death,['deaths'],['death'],['death']
deathli,['deathly'],['death'],['death']
deb,['debs'],['deb'],['deb']
debacl,['debacle'],['debac'],['debacl']
debat,"['debatable', 'debates']","['deb', 'deb']","['debat', 'debat']"
debonair,['debonair'],['debonair'],['debonair']
debora,['debora'],['debor'],['debora']
debunk,['debunking'],['debunk'],['debunk']
decant,['decanted'],['dec'],['decant']
decay,['decays'],['decay'],['decay']
deceit,"['deceitful', 'deceits']","['deceit', 'deceit']","['deceit', 'deceit']"
decent,['decent'],['dec'],['decent']
decidedli,['decidedly'],['decid'],['decid']
decim,['decimals'],['decim'],['decim']
decis,"['decisive', 'decisions', 'decisiveness']","['decid', 'decid', 'decid']","['decis', 'decis', 'decis']"
declar,['declarative'],['decl'],['declar']
decolletag,['decolletage'],['decollet'],['decolletag']
decor,"['decoration', 'decorator', 'decorators']","['dec', 'dec', 'dec']","['decor', 'decor', 'decor']"
decre,['decreeing'],['decr'],['decre']
deem,['deem'],['deem'],['deem']
deep,['deeps'],['deep'],['deep']
deepest,['deepest'],['deepest'],['deepest']
deepli,['deeply'],['deeply'],['deepli']
def,['def'],['def'],['def']
defeat,['defeats'],['def'],['defeat']
defend,"['defended', 'defender']","['defend', 'defend']","['defend', 'defend']"
defer,"['deferring', 'deferents']","['defer', 'def']","['defer', 'defer']"
defiantli,['defiantly'],['defy'],['defiant']
defici,['deficiencies'],['deficy'],['defici']
defin,"['defined', 'defines']","['defin', 'defin']","['defin', 'defin']"
deform,"['deformational', 'deformities']","['deform', 'deform']","['deform', 'deform']"
dehaviland,['dehaviland'],['dehaviland'],['dehaviland']
dehumidifi,['dehumidified'],['dehumid'],['dehumidifi']
dehydr,['dehydrated'],['dehydr'],['dehydr']
deject,['dejection'],['deject'],['deject']
delawar,['delaware'],['delaw'],['delawar']
delicti,['delicti'],['delict'],['delicti']
delinqu,['delinquency'],['delinqu'],['delinqu']
delirium,['delirium'],['delir'],['delirium']
dell,['dell'],['del'],['dell']
dellarca,['dellarca'],['dellarc'],['dellarca']
dellwood,['dellwood'],['dellwood'],['dellwood']
delud,['deluding'],['delud'],['delud']
delug,['deluged'],['delug'],['delug']
demeanor,['demeanor'],['dem'],['demeanor']
demographi,['demography'],['demograph'],['demographi']
demon,['demons'],['demon'],['demon']
denial,['denial'],['den'],['denial']
denni,['dennys'],['denny'],['denni']
denomin,['denominators'],['denomin'],['denomin']
denot,"['denoted', 'denoting']","['denot', 'denot']","['denot', 'denot']"
denounc,['denounces'],['denount'],['denounc']
densitometri,['densitometry'],['densitometry'],['densitometri']
deploy,['deployment'],['deploy'],['deploy']
deprav,['depraved'],['deprav'],['deprav']
depress,"['depression', 'depresses']","['depress', 'depress']","['depress', 'depress']"
depressingli,['depressingly'],['depress'],['depress']
depriv,"['depriving', 'deprivation']","['depr', 'depr']","['depriv', 'depriv']"
deris,['derision'],['derid'],['deris']
deriv,['derivations'],['der'],['deriv']
descart,['descartes'],['descart'],['descart']
descend,['descending'],['descend'],['descend']
desegreg,['desegregation'],['desegreg'],['desegreg']
deserv,"['deserved', 'deserves']","['deserv', 'deserv']","['deserv', 'deserv']"
design,['designate'],['design'],['design']
desorpt,['desorption'],['desorb'],['desorpt']
desper,['desperation'],['desp'],['desper']
despot,"['despotism', 'despot']","['despot', 'despot']","['despot', 'despot']"
destroy,['destroyer'],['destroy'],['destroy']
detect,['detect'],['detect'],['detect']
devast,['devastate'],['devast'],['devast']
develop,['developments'],['develop'],['develop']
deven,['devens'],['dev'],['deven']
deviou,['devious'],['devy'],['devious']
devise,['devisee'],['dev'],['devise']
devot,['devoting'],['devot'],['devot']
devour,['devour'],['devo'],['devour']
dewdrop,['dewdrops'],['dewdrop'],['dewdrop']
dexedrin,['dexedrine'],['dexedrin'],['dexedrin']
dexter,['dexter'],['dext'],['dexter']
dialect,['dialectic'],['dialect'],['dialect']
dialyz,['dialyzed'],['dialys'],['dialyz']
diamond,['diamonds'],['diamond'],['diamond']
diathermi,['diathermy'],['diathermy'],['diathermi']
dichondra,['dichondra'],['dichondr'],['dichondra']
diction,['diction'],['dict'],['diction']
dictionari,"['dictionarys', 'dictionary']","['dict', 'dict']","['dictionari', 'dictionari']"
didi,['didi'],['did'],['didi']
die,['dying'],['dying'],['die']
diego,['diego'],['diego'],['diego']
dienbienphu,['dienbienphu'],['dienbienphu'],['dienbienphu']
difficulti,['difficulties'],['difficul'],['difficulti']
diffrunc,['diffrunce'],['diffrunt'],['diffrunc']
digest,['digest'],['digest'],['digest']
diminish,['diminishing'],['dimin'],['diminish']
dimli,['dimly'],['dim'],['dim']
dine,['dine'],['din'],['dine']
dineen,['dineen'],['dineen'],['dineen']
dinner,['dinner'],['din'],['dinner']
dinosaur,['dinosaur'],['dinosa'],['dinosaur']
dipper,['dipper'],['dip'],['dipper']
direct,['directives'],['direct'],['direct']
director,['directors'],['direct'],['director']
dirg,['dirge'],['dirg'],['dirg']
disappear,['disappeared'],['disappear'],['disappear']
disappoint,['disappointing'],['disappoint'],['disappoint']
disarma,['disarmament'],['disarma'],['disarma']
disbeliev,['disbelieving'],['disbeliev'],['disbeliev']
disc,['disc'],['disc'],['disc']
discharg,['discharge'],['discharg'],['discharg']
disciplinari,['disciplinary'],['disciplin'],['disciplinari']
disclos,['discloses'],['disclos'],['disclos']
discolor,['discolors'],['discol'],['discolor']
discontinu,['discontinued'],['discontinu'],['discontinu']
discoveri,['discoveries'],['discovery'],['discoveri']
discrep,['discrepancies'],['discrep'],['discrep']
discuss,['discussions'],['discuss'],['discuss']
disgruntl,['disgruntled'],['disgruntl'],['disgruntl']
dishevel,['disheveled'],['dishevel'],['dishevel']
dishwash,['dishwashers'],['dishwash'],['dishwash']
disjoint,['disjointed'],['disjoint'],['disjoint']
dislik,['dislikes'],['dislik'],['dislik']
dismount,['dismounted'],['dismount'],['dismount']
disobedi,['disobedient'],['disobedy'],['disobedi']
disorderli,['disorderly'],['disord'],['disord']
dispar,['disparity'],['disp'],['dispar']
dispatch,['dispatch'],['dispatch'],['dispatch']
dispens,['dispenser'],['dispens'],['dispens']
displac,['displaced'],['displac'],['displac']
display,['displays'],['display'],['display']
disrupt,['disruptive'],['disrupt'],['disrupt']
dissoci,['dissociation'],['dissocy'],['dissoci']
dissolv,['dissolving'],['dissolv'],['dissolv']
distil,['distiller'],['distil'],['distil']
distinguish,['distinguishing'],['distinct'],['distinguish']
distraught,['distraught'],['distraught'],['distraught']
distress,"['distressed', 'distressing']","['distress', 'distress']","['distress', 'distress']"
distributor,['distributors'],['distribut'],['distributor']
district,['districts'],['district'],['district']
distrust,['distrust'],['distrust'],['distrust']
disturb,['disturbances'],['disturb'],['disturb']
disunion,['disunion'],['disun'],['disunion']
ditmar,"['ditmar', 'ditmars']","['ditm', 'ditm']","['ditmar', 'ditmar']"
dive,"['dive', 'dives']","['div', 'div']","['dive', 'dive']"
divers,['diversion'],['divert'],['divers']
dixon,['dixon'],['dixon'],['dixon']
djakarta,['djakarta'],['djakart'],['djakarta']
djangolog,['djangology'],['djangolog'],['djangolog']
doati,['doatys'],['doaty'],['doati']
doberman,['doberman'],['doberm'],['doberman']
dobl,['doble'],['dobl'],['dobl']
docksid,['dockside'],['docksid'],['docksid']
doctor,['doctored'],['doct'],['doctor']
doctrin,['doctrine'],['doctrin'],['doctrin']
document,['documentation'],['docu'],['document']
dodg,['dodge'],['dodg'],['dodg']
doe,['doe'],['doe'],['doe']
dof,['doffing'],['doff'],['dof']
dog,['dogs'],['dog'],['dog']
dogwood,['dogwood'],['dogwood'],['dogwood']
dole,"['dole', 'doleful']","['dol', 'dol']","['dole', 'dole']"
dolmabahc,['dolmabahce'],['dolmabahc'],['dolmabahc']
domest,['domesticity'],['domest'],['domest']
domin,['domination'],['domin'],['domin']
dominiqu,['dominique'],['domin'],['dominiqu']
donat,"['donated', 'donate', 'donating']","['don', 'don', 'don']","['donat', 'donat', 'donat']"
donna,['donna'],['donn'],['donna']
dookiyoon,['dookiyoon'],['dookiyoon'],['dookiyoon']
doormen,['doormen'],['doorm'],['doormen']
dope,['dope'],['dop'],['dope']
dose,"['dosed', 'dose']","['dos', 'dos']","['dose', 'dose']"
doubt,['doubtfully'],['doubt'],['doubt']
doubtingli,['doubtingly'],['doubt'],['doubt']
dougla,['douglas'],['dougla'],['dougla']
dove,['doves'],['dov'],['dove']
dowel,['dowel'],['dowel'],['dowel']
downer,['downers'],['down'],['downer']
downhil,['downhill'],['downhil'],['downhil']
dozen,['dozen'],['doz'],['dozen']
drafte,['draftee'],['draft'],['drafte']
drag,['dragged'],['drag'],['drag']
dramat,"['dramatizing', 'dramatical']","['dram', 'dram']","['dramat', 'dramat']"
drape,['drapes'],['drap'],['drape']
drawer,['drawer'],['draw'],['drawer']
dread,['dread'],['dread'],['dread']
dreadnought,['dreadnought'],['dreadnought'],['dreadnought']
dream,['dreaming'],['dream'],['dream']
dreamless,['dreamless'],['dreamless'],['dreamless']
dred,['dred'],['dred'],['dred']
dress,"['dressing', 'dressings']","['dress', 'dress']","['dress', 'dress']"
dresser,['dresser'],['dress'],['dresser']
drift,['drifts'],['drift'],['drift']
drill,['drill'],['dril'],['drill']
drink,['drinks'],['drink'],['drink']
drinkhous,['drinkhouse'],['drinkh'],['drinkhous']
drone,['drones'],['dron'],['drone']
dross,['dross'],['dross'],['dross']
drudgeri,['drudgery'],['drudgery'],['drudgeri']
druid,['druid'],['druid'],['druid']
drummer,['drummer'],['drum'],['drummer']
drunk,['drunks'],['drunk'],['drunk']
druther,['druther'],['druth'],['druther']
duck,['ducks'],['duck'],['duck']
duel,['duel'],['duel'],['duel']
dumbbel,['dumbbell'],['dumbbel'],['dumbbel']
dun,['dun'],['dun'],['dun']
dunlop,['dunlop'],['dunlop'],['dunlop']
dunn,['dunns'],['dun'],['dunn']
duplex,['duplex'],['duplex'],['duplex']
duqu,['duque'],['duqu'],['duqu']
durant,['durante'],['dur'],['durant']
duroch,['durocher'],['duroch'],['duroch']
duti,"['duties', 'dutifully']","['duty', 'duty']","['duti', 'duti']"
dwarf,['dwarfed'],['dwarf'],['dwarf']
dwell,['dwelling'],['dwel'],['dwell']
dwindl,['dwindled'],['dwindl'],['dwindl']
dwyer,['dwyers'],['dwy'],['dwyer']
dystopian,['dystopian'],['dystop'],['dystopian']
ear,['earrings'],['ear'],['earring']
earlier,['earlier'],['ear'],['earlier']
earn,"['earning', 'earnings']","['earn', 'earn']","['earn', 'earn']"
eas,['ease'],['eas'],['eas']
easel,['easel'],['easel'],['easel']
eastern,['easterners'],['eastern'],['eastern']
eastman,['eastman'],['eastm'],['eastman']
ebbett,['ebbetts'],['ebbet'],['ebbett']
eckenfeld,['eckenfelder'],['eckenfeld'],['eckenfeld']
eclogu,['eclogue'],['eclog'],['eclogu']
edema,['edema'],['edem'],['edema']
edgar,['edgar'],['edg'],['edgar']
edgerton,['edgertons'],['edgerton'],['edgerton']
edific,['edifice'],['ed'],['edific']
eel,['eel'],['eel'],['eel']
effac,['effaces'],['effac'],['effac']
effect,['effect'],['effect'],['effect']
effectu,['effectual'],['effect'],['effectu']
effi,['effie'],['effy'],['effi']
effici,['efficient'],['efficy'],['effici']
effluvium,['effluvium'],['effluv'],['effluvium']
egalitarian,['egalitarianism'],['egalit'],['egalitarian']
egerton,['egerton'],['egerton'],['egerton']
egregi,['egregiously'],['egregy'],['egregi']
eh,['eh'],['eh'],['eh']
eichmann,['eichmanns'],['eichman'],['eichmann']
eight,['eight'],['eight'],['eight']
ein,"['eine', 'ein']","['ein', 'ein']","['ein', 'ein']"
elabor,['elaborated'],['elab'],['elabor']
elat,['elated'],['el'],['elat']
elba,['elba'],['elb'],['elba']
eleazar,['eleazar'],['eleaz'],['eleazar']
elec,['elecs'],['elec'],['elec']
elector,['electoral'],['elect'],['elector']
electra,['electra'],['electr'],['electra']
electron,['electrons'],['electron'],['electron']
element,['elements'],['el'],['element']
eleven,['eleven'],['elev'],['eleven']
eleventh,['eleventh'],['eleven'],['eleventh']
elfin,['elfin'],['elfin'],['elfin']
elig,['eligibility'],['elig'],['elig']
ella,['ella'],['ell'],['ella']
elli,['ellis'],['el'],['elli']
ellipsoid,['ellipsoid'],['ellipsoid'],['ellipsoid']
elm,['elm'],['elm'],['elm']
elsinor,['elsinore'],['elsin'],['elsinor']
elucid,['elucidation'],['elucid'],['elucid']
eman,['emanation'],['em'],['eman']
emancip,['emancipation'],['emancip'],['emancip']
embassi,['embassies'],['embassy'],['embassi']
embattl,['embattled'],['embattl'],['embattl']
embezzl,"['embezzle', 'embezzlement']","['embezzl', 'embezzl']","['embezzl', 'embezzl']"
embrac,['embraces'],['embrac'],['embrac']
emerg,"['emerged', 'emergent']","['emerg', 'emerg']","['emerg', 'emerg']"
emin,['eminently'],['emin'],['emin']
emissari,['emissary'],['emiss'],['emissari']
emit,['emitting'],['emit'],['emit']
emori,['emory'],['em'],['emori']
emot,"['emotional', 'emotionally']","['emot', 'emot']","['emot', 'emot']"
emperor,['emperor'],['emp'],['emperor']
employ,['employments'],['employ'],['employ']
enamel,['enamelled'],['enamel'],['enamel']
enchant,['enchanting'],['ench'],['enchant']
encompass,['encompasses'],['encompass'],['encompass']
encourag,['encourages'],['enco'],['encourag']
encycloped,['encyclopedic'],['encyclop'],['encycloped']
end,['ends'],['end'],['end']
endang,['endanger'],['endang'],['endang']
endless,['endless'],['endless'],['endless']
endpoint,['endpoints'],['endpoint'],['endpoint']
endur,['enduring'],['end'],['endur']
enemi,['enemies'],['enemy'],['enemi']
energi,['energies'],['energy'],['energi']
enfant,['enfant'],['enf'],['enfant']
enforc,"['enforced', 'enforceable']","['enforc', 'enforc']","['enforc', 'enforc']"
engin,['engineering'],['engin'],['engin']
