,index,Original,Porter,Lancaster,Snowball
6240,10931,contrite,contrit,contrit,contrit
6241,10933,rewrite,rewrit,rewrit,rewrit
6242,10934,underwrite,underwrit,underwrit,underwrit
6243,10936,parasite,parasit,parasit,parasit
6244,10937,prerequisite,prerequisit,prerequisit,prerequisit
6245,10938,exquisite,exquisit,exquisit,exquisit
6246,10939,composite,composit,composit,composit
6247,10940,opposite,opposit,opposit,opposit
6248,10941,luniversite,luniversit,luniversit,luniversit
6249,10942,cassite,cassit,cassit,cassit
6250,10943,petite,petit,petit,petit
6251,10944,appetite,appetit,appetit,appetit
6252,10945,tektite,tektit,tektit,tektit
6253,10946,didentite,didentit,didentit,didentit
6254,10947,lidentite,lidentit,lidentit,lidentit
6255,10948,quadripartite,quadripartit,quadripartit,quadripartit
6256,10949,tripartite,tripartit,tripartit,tripartit
6257,10950,quite,quit,quit,quit
6258,10951,suite,suit,suit,suit
6259,10952,lactivite,lactivit,lactivit,lactivit
6260,10953,invite,invit,invit,invit
6261,10954,firzite,firzit,firzit,firzit
6262,10955,svelte,svelt,svelt,svelt
6263,10956,culte,cult,cult,cult
6264,10957,ante,ant,ant,ant
6265,10958,dante,dant,dant,dant
6266,10960,lante,lant,lant,lant
6267,10962,sante,sant,sant,sant
6268,10970,sainte,saint,saint,saint
6269,10971,aconte,acont,acont,acont
6270,10972,belafonte,belafont,belafont,belafont
6271,10973,monte,mont,mont,mont
6272,10974,chiaromonte,chiaromont,chiaromont,chiaromont
6273,10975,pynte,pynt,pynt,pynt
6274,10976,milcote,milcot,milcot,milcot
6275,10977,anecdote,anecdot,anecdot,anecdot
6276,10978,antidote,antidot,antidot,antidot
6277,10979,remote,remot,remot,remot
6278,10980,promote,promot,promot,promot
6279,10982,denote,denot,denot,denot
6280,10983,connote,connot,connot,connot
6281,10984,footnote,footnot,footnot,footnot
6282,10985,keynote,keynot,keynot,keynot
6283,10986,foote,foot,foot,foot
6284,10987,capote,capot,capot,capot
6285,10988,compote,compot,compot,compot
6286,10991,quote,quot,quot,quot
6287,10993,devote,devot,devot,devot
6288,10994,quixote,quixot,quixot,quixot
6289,10995,coyote,coyot,coyot,coyot
6290,10996,tuhulhulzote,tuhulhulzot,tuhulhulzot,tuhulhulzot
6291,10997,rte,rte,rte,rte
6292,10998,arte,art,art,art
6293,10999,carte,cart,cart,cart
6294,11000,bonaparte,bonapart,bonapart,bonapart
6295,11001,astarte,astart,astart,astart
6296,11002,bizerte,bizert,bizert,bizert
6297,11003,forte,fort,fort,fort
6298,11004,caste,cast,cast,cast
6299,11005,haste,hast,hast,hast
6300,11006,paste,past,past,past
6301,11007,toothpaste,toothpast,toothpast,toothpast
6302,11008,taste,tast,tast,tast
6303,11009,distaste,distast,distast,distast
6304,11010,waste,wast,wast,wast
6305,11011,liste,list,list,list
6306,11013,coste,cost,cost,cost
6307,11014,hoste,host,host,host
6308,11015,juste,just,just,just
6309,11055,haute,haut,haut,haut
6310,11056,saute,saut,saut,saut
6311,11057,tribute,tribut,tribut,tribut
6312,11058,contribute,contribut,contribut,contribut
6313,11059,distribute,distribut,distribut,distribut
6314,11060,attribute,attribut,attribut,attribut
6315,11062,acute,acut,acut,acut
6316,11063,prosecute,prosecut,prosecut,prosecut
6317,11064,execute,execut,execut,execut
6318,11065,heute,heut,heut,heut
6319,11066,refute,refut,refut,refut
6320,11069,parachute,parachut,parachut,parachut
6321,11072,salute,salut,salut,salut
6322,11074,dilute,dilut,dilut,dilut
6323,11079,commute,commut,commut,commut
6324,11080,canute,canut,canut,canut
6325,11081,minute,minut,minut,minut
6326,11082,redoute,redout,redout,redout
6327,11083,route,rout,rout,rout
6328,11084,repute,reput,reput,reput
6329,11085,disrepute,disreput,disreput,disreput
6330,11086,impute,imput,imput,imput
6331,11087,compute,comput,comput,comput
6332,11088,dispute,disput,disput,disput
6333,11090,statute,statut,statut,statut
6334,11091,substitute,substitut,substitut,substitut
6335,11092,destitute,destitut,destitut,destitut
6336,11093,institute,institut,institut,institut
6337,11094,constitute,constitut,constitut,constitut
6338,11095,prostitute,prostitut,prostitut,prostitut
6339,11096,astute,astut,astut,astut
6340,11097,leyte,leyt,leyt,leyt
6341,11098,macwhyte,macwhyt,macwhyt,macwhyt
6342,11099,acolyte,acolyt,acolyt,acolyt
6343,11101,cimabue,cimabu,cimabu,cimabu
6344,11102,cue,cue,cue,cue
6345,11103,barbecue,barbecu,barbecu,barbecu
6346,11104,rescue,rescu,rescu,rescu
6347,11105,fortescue,fortescu,fortescu,fortescu
6348,11106,ffortescue,ffortescu,ffortescu,ffortescu
6349,11107,due,due,due,due
6350,11108,subdue,subdu,subdu,subdu
6351,11109,residue,residu,residu,residu
6352,11110,undue,undu,undu,undu
6353,11111,overdue,overdu,overdu,overdu
6354,11112,ague,agu,agu,agu
6355,11113,league,leagu,leagu,leagu
6356,11114,colleague,colleagu,colleagu,colleagu
6357,11115,hague,hagu,hagu,hagu
6358,11116,plague,plagu,plagu,plagu
6359,11117,prague,pragu,pragu,pragu
6360,11119,vague,vagu,vagu,vagu
6361,11120,intrigue,intrigu,intrigu,intrigu
6362,11121,sigue,sigu,sigu,sigu
6363,11122,fatigue,fatigu,fatigu,fatigu
6364,11123,meringue,meringu,meringu,meringu
6365,11124,longue,longu,longu,longu
6366,11125,tongue,tongu,tongu,tongu
6367,11138,argue,argu,argu,argu
6368,11139,morgue,morgu,morgu,morgu
6369,11140,hue,hue,hue,hue
6370,11141,value,valu,valu,valu
6371,11145,avenue,avenu,avenu,avenu
6372,11146,revenue,revenu,revenu,revenu
6373,11147,retinue,retinu,retinu,retinu
6374,11148,continue,continu,continu,continu
6375,11149,discontinue,discontinu,discontinu,discontinu
6376,11150,que,que,que,que
6377,11151,plaque,plaqu,plaqu,plaqu
6378,11152,opaque,opaqu,opaqu,opaqu
6379,11153,braque,braqu,braqu,braqu
6380,11158,clique,cliqu,cliqu,cliqu
6381,11165,pique,piqu,piqu,piqu
6382,11175,baroque,baroqu,baroqu,baroqu
6383,11176,remarque,remarqu,remarqu,remarqu
6384,11177,monarque,monarqu,monarqu,monarqu
6385,11178,steinkerque,steinkerqu,steinkerqu,steinkerqu
6386,11179,torque,torqu,torqu,torqu
6387,11180,masque,masqu,masqu,masqu
6388,11181,arabesque,arabesqu,arabesqu,arabesqu
6389,11182,burlesque,burlesqu,burlesqu,burlesqu
6390,11183,persianesque,persianesqu,persianesqu,persianesqu
6391,11184,painteresque,painteresqu,painteresqu,painteresqu
6392,11185,picturesque,picturesqu,picturesqu,picturesqu
6393,11186,unpicturesque,unpicturesqu,unpicturesqu,unpicturesqu
6394,11187,grotesque,grotesqu,grotesqu,grotesqu
6395,11188,bisque,bisqu,bisqu,bisqu
6396,11189,forisque,forisqu,forisqu,forisqu
6397,11190,mosque,mosqu,mosqu,mosqu
6398,11191,duque,duqu,duqu,duqu
6399,11192,rue,rue,rue,rue
6400,11193,sprue,sprue,sprue,sprue
6401,11195,untrue,untru,untru,untru
6402,11196,construe,constru,constru,constru
6403,11197,sue,sue,sue,sue
6404,11198,ensue,ensu,ensu,ensu
6405,11199,pursue,pursu,pursu,pursu
6406,11200,issue,issu,issu,issu
6407,11201,reissue,reissu,reissu,reissu
6408,11202,tissue,tissu,tissu,tissu
6409,11203,intratissue,intratissu,intratissu,intratissu
6410,11204,statue,statu,statu,statu
6411,11205,virtue,virtu,virtu,virtu
6412,11206,vue,vue,vue,vue
6413,11209,concave,concav,concav,concav
6414,11210,biconcave,biconcav,biconcav,biconcav
6415,11211,planoconcave,planoconcav,planoconcav,planoconcav
6416,11213,eave,eav,eav,eav
6417,11214,receave,receav,receav,receav
6418,11215,heave,heav,heav,heav
6419,11216,leave,leav,leav,leav
6420,11217,weave,weav,weav,weav
6421,11219,forgave,forgav,forgav,forgav
6422,11220,behave,behav,behav,behav
6423,11222,conclave,conclav,conclav,conclav
6424,11224,enslave,enslav,enslav,enslav
6425,11230,octave,octav,octav,octav
6426,11232,gustave,gustav,gustav,gustav
6427,11233,suave,suav,suav,suav
6428,11235,groundwave,groundwav,groundwav,groundwav
6429,11236,shockwave,shockwav,shockwav,shockwav
6430,11237,microwave,microwav,microwav,microwav
6431,11238,skywave,skywav,skywav,skywav
6432,11239,couldve,couldv,couldv,couldv
6433,11241,sleeve,sleev,sleev,sleev
6434,11242,shirtsleeve,shirtsleev,shirtsleev,shirtsleev
6435,11243,achieve,achiev,achiev,achiev
6436,11244,believe,believ,believ,believ
6437,11245,disbelieve,disbeliev,disbeliev,disbeliev
6438,11246,relieve,reliev,reliev,reliev
6439,11247,reprieve,repriev,repriev,repriev
6440,11248,retrieve,retriev,retriev,retriev
6441,11249,sieve,siev,siev,siev
6442,11250,genevieve,geneviev,geneviev,geneviev
6443,11251,hoeve,hoev,hoev,hoev
6444,11255,drahve,drahv,drahv,drahv
6445,11257,naive,naiv,naiv,naiv
6446,11258,waive,waiv,waiv,waiv
6447,11260,conducive,conduc,conduc,conduc
6448,11263,deceive,deceiv,deceiv,deceiv
6449,11264,receive,receiv,receiv,receiv
6450,11265,conceive,conceiv,conceiv,conceiv
6451,11266,perceive,perceiv,perceiv,perceiv
6452,11281,thrive,thrive,thrive,thrive
6453,11285,strive,strive,strive,strive
6454,11286,persuasive,persuas,persuas,persuas
6455,11287,evasive,evas,evas,evas
6456,11288,pervasive,pervas,pervas,pervas
6457,11295,repulsive,repuls,repuls,repuls
6458,11296,impulsive,impuls,impuls,impuls
6459,11297,compulsive,compuls,compuls,compuls
6460,11298,convulsive,convuls,convuls,convuls
6461,11314,recursive,recurs,recurs,recurs
6462,11317,impassive,impass,impass,impass
6463,11318,successive,success,success,success
6464,11319,excessive,excess,excess,excess
6465,11320,aggressive,aggress,aggress,aggress
6466,11321,unaggressive,unaggress,unaggress,unaggress
6467,11322,overaggressive,overaggress,overaggress,overaggress
6468,11323,progressive,progress,progress,progress
6469,11324,retrogressive,retrogress,retrogress,retrogress
6470,11325,depressive,depress,depress,depress
6471,11326,repressive,repress,repress,repress
6472,11327,impressive,impress,impress,impress
6473,11328,unimpressive,unimpress,unimpress,unimpress
6474,11329,compressive,compress,compress,compress
6475,11330,oppressive,oppress,oppress,oppress
6476,11331,expressive,express,express,express
6477,11332,obsessive,obsess,obsess,obsess
6478,11333,possessive,possess,possess,possess
6479,11337,percussive,percuss,percuss,percuss
6480,11339,effusive,effus,effus,effus
6481,11351,uncommunicative,uncommun,uncommun,uncommun
6482,11352,evocative,evoc,evoc,evoc
6483,11353,provocative,provoc,provoc,provoc
6484,11354,unprovocative,unprovoc,unprovoc,unprovoc
6485,11359,investigative,investig,investig,investig
6486,11360,prerogative,prerog,prerog,prerog
6487,11366,contemplative,contempl,contempl,contempl
6488,11367,superlative,superl,superl,superl
6489,11368,legislative,legisl,legisl,legisl
6490,11372,affirmative,affirm,affirm,affirm
6491,11374,informative,inform,inform,inform
6492,11377,imaginative,imagin,imagin,imagin
6493,11378,unimaginative,unimagin,unimagin,unimagin
6494,11379,determinative,determin,determin,determin
6495,11380,alternative,altern,altern,altern
6496,11385,remunerative,remun,remun,remun
6497,11389,uncooperative,uncoop,uncoop,uncoop
6498,11390,alliterative,allit,allit,allit
6499,11391,integrative,integr,integr,integr
6500,11392,disintegrative,disintegr,disintegr,disintegr
6501,11402,interpretative,interpret,interpret,interpret
6502,11403,recitative,recit,recit,recit
6503,11404,meditative,medit,medit,medit
6504,11405,qualitative,qualit,qualit,qualit
6505,11406,imitative,imit,imit,imit
6506,11407,authoritative,authorit,authorit,authorit
6507,11408,quantitative,quantit,quantit,quantit
6508,11409,semiquantitative,semiquantit,semiquantit,semiquantit
6509,11410,consultative,consult,consult,consult
6510,11411,representative,repres,repres,repres
6511,11413,evaluative,evalu,evalu,evalu
6512,11415,conservative,conserv,conserv,conserv
6513,11418,inactive,inact,inact,inact
6514,11419,psychoactive,psychoact,psychoact,psychoact
6515,11420,radioactive,radioact,radioact,radioact
6516,11421,hypoactive,hypoact,hypoact,hypoact
6517,11422,builderactive,builderact,builderact,builderact
6518,11423,overactive,overact,overact,overact
6519,11424,refractive,refract,refract,refract
6520,11425,abstractive,abstract,abstract,abstract
6521,11426,attractive,attract,attract,attract
6522,11427,unattractive,unattract,unattract,unattract
6523,11428,attactive,attact,attact,attact
6524,11429,defective,defect,defect,defect
6525,11430,effective,effect,effect,effect
6526,11431,ineffective,ineffect,ineffect,ineffect
6527,11432,infective,infect,infect,infect
6528,11433,objective,object,object,object
6529,11434,subjective,subject,subject,subject
6530,11435,adjective,adject,adject,adject
6531,11436,projective,project,project,project
6532,11438,selective,select,select,select
6533,11439,reflective,reflect,reflect,reflect
6534,11440,unreflective,unreflect,unreflect,unreflect
6535,11441,collective,collect,collect,collect
6536,11442,connective,connect,connect,connect
6537,11443,respective,respect,respect,respect
6538,11444,irrespective,irrespect,irrespect,irrespect
6539,11445,prospective,prospect,prospect,prospect
6540,11446,retrospective,retrospect,retrospect,retrospect
6541,11447,introspective,introspect,introspect,introspect
6542,11448,perspective,perspect,perspect,perspect
6543,11449,directive,direct,direct,direct
6544,11450,detective,detect,detect,detect
6545,11451,protective,protect,protect,protect
6546,11452,overprotective,overprotect,overprotect,overprotect
6547,11453,predictive,predict,predict,predict
6548,11454,vindictive,vindict,vindict,vindict
6549,11456,restrictive,restrict,restrict,restrict
6550,11457,distinctive,distinct,distinct,distinct
6551,11458,instinctive,instinct,instinct,instinct
6552,11459,injunctive,injunct,injunct,injunct
6553,11465,destructive,destruct,destruct,destruct
6554,11466,instructive,instruct,instruct,instruct
6555,11467,constructive,construct,construct,construct
6556,11468,prohibitive,prohibit,prohibit,prohibit
6557,11469,additive,addit,addit,addit
6558,11470,fugitive,fugit,fugit,fugit
6559,11471,primitive,primit,primit,primit
6560,11472,cognitive,cognit,cognit,cognit
6561,11473,definitive,definit,definit,definit
6562,11474,infinitive,infinit,infinit,infinit
6563,11475,punitive,punit,punit,punit
6564,11476,nutritive,nutrit,nutrit,nutrit
6565,11477,inquisitive,inquisit,inquisit,inquisit
6566,11478,sensitive,sensit,sensit,sensit
6567,11479,insensitive,insensit,insensit,insensit
6568,11480,photosensitive,photosensit,photosensit,photosensit
6569,11481,supersensitive,supersensit,supersensit,supersensit
6570,11482,positive,posit,posit,posit
6571,11483,repetitive,repetit,repetit,repetit
6572,11484,competitive,competit,competit,competit
6573,11485,intuitive,intuit,intuit,intuit
6574,11495,locomotive,locomot,locomot,locomot
6575,11496,automotive,automot,automot,automot
6576,11499,adaptive,adapt,adapt,adapt
6577,11500,maladaptive,maladapt,maladapt,maladapt
6578,11508,redemptive,redempt,redempt,redempt
6579,11511,disruptive,disrupt,disrupt,disrupt
6580,11512,assertive,assert,assert,assert
6581,11513,abortive,abort,abort,abort
6582,11514,supportive,support,support,support
6583,11517,suggestive,suggest,suggest,suggest
6584,11518,digestive,digest,digest,digest
6585,11519,congestive,congest,congest,congest
6586,11521,resistive,resist,resist,resist
6587,11523,exhaustive,exhaust,exhaust,exhaust
6588,11524,distributive,distribut,distribut,distribut
6589,11525,consecutive,consecut,consecut,consecut
6590,11526,executive,execut,execut,execut
6591,11527,diminutive,diminut,diminut,diminut
6592,11531,salve,salv,salv,salv
6593,11532,valve,valv,valv,valv
6594,11533,twelve,twelv,twelv,twelv
6595,11534,solve,solv,solv,solv
6596,11535,resolve,resolv,resolv,resolv
6597,11536,dissolve,dissolv,dissolv,dissolv
6598,11537,evolve,evolv,evolv,evolv
6599,11538,revolve,revolv,revolv,revolv
6600,11539,involve,involv,involv,involv
6601,11540,above,abov,abov,abov
6602,11549,remove,remov,remov,remov
6603,11550,groove,groov,groov,groov
6604,11554,shrove,shrove,shrove,shrove
6605,11556,improve,improv,improv,improv
6606,11557,approve,approv,approv,approv
6607,11558,disapprove,disapprov,disapprov,disapprov
6608,11559,disprove,disprov,disprov,disprov
6609,11560,strove,strove,strove,strove
6610,11563,carve,carv,carv,carv
6611,11564,harve,harv,harv,harv
6612,11565,starve,starv,starv,starv
6613,11566,nerve,nerv,nerv,nerv
6614,11567,serve,serv,serv,serv
6615,11568,observe,observ,observ,observ
6616,11569,deserve,deserv,deserv,deserv
6617,11570,reserve,reserv,reserv,reserv
6618,11571,preserve,preserv,preserv,preserv
6619,11572,sreserve,sreserv,sreserv,sreserv
6620,11573,xreserve,xreserv,xreserv,xreserv
6621,11574,conserve,conserv,conserv,conserv
6622,11575,verve,verv,verv,verv
6623,11576,swerve,swerv,swerv,swerv
6624,11577,curve,curv,curv,curv
6625,11578,mustve,mustv,mustv,mustv
6626,11579,mauve,mauv,mauv,mauv
6627,11580,couve,couv,couv,couv
6628,11581,youve,youv,youv,youv
6629,11582,theyve,theyv,theyv,theyv
6630,11584,fanshawe,fanshaw,fanshaw,fanshaw
6631,11586,shewe,shew,shew,shew
6632,11587,valewe,valew,valew,valew
6633,11588,loewe,loew,loew,loew
6634,11589,drewe,drew,drew,drew
6635,11590,yahwe,yahw,yahw,yahw
6636,11593,lowe,low,low,low
6637,11594,marlowe,marlow,marlow,marlow
6638,11595,stowe,stow,stow,stow
6639,11596,brestowe,brestow,brestow,brestow
6640,11598,pickaxe,pickax,pickax,pickax
6641,11599,deluxe,delux,delux,delux
6642,11600,ye,ye,ye,ye
6643,11602,maye,may,may,may
6644,11603,awaye,away,away,away
6645,11604,bye,bye,bye,bye
6646,11605,saabye,saaby,saaby,saaby
6647,11606,rockabye,rockaby,rockaby,rockaby
6648,11607,goodbye,goodby,goodby,goodby
6649,11612,anye,any,any,any
6650,11613,manye,many,many,many
6651,11614,employe,employ,employ,employ
6652,11615,pye,pye,pye,pye
6653,11616,rye,rye,rye,rye
6654,11620,kamikaze,kamikaz,kamikaz,kamikaz
6655,11623,ablaze,ablaz,ablaz,ablaz
6656,11626,amaze,amaz,amaz,amaz
6657,11629,virsaladze,virsaladz,virsaladz,virsaladz
6658,11630,breeze,breez,breez,breez
6659,11631,freeze,freez,freez,freez
6660,11632,squeeze,squeez,squeez,squeez
6661,11633,frieze,friez,friez,friez
6662,11636,subsidize,subsid,subsid,subsid
6663,11637,jeopardize,jeopard,jeopard,jeopard
6664,11638,seize,seiz,seiz,seiz
6665,11639,demythologize,demytholog,demytholog,demytholog
6666,11640,apologize,apolog,apolog,apolog
6667,11641,eulogize,eulog,eulog,eulog
6668,11642,catechize,catech,catech,catech
6669,11644,sympathize,sympath,sympath,sympath
6670,11645,detribalize,detrib,detrib,detrib
6671,11660,universalize,univers,univers,univers
6672,11661,capitalize,capit,capit,capit
6673,11662,revitalize,revit,revit,revit
6674,11668,sterilize,steril,steril,steril
6675,11669,utilize,util,util,util
6676,11670,crystallize,crystal,crystal,crystal
6677,11671,symbolize,symbol,symbol,symbol
6678,11672,idolize,idol,idol,idol
6679,11673,monopolize,monopol,monopol,monopol
6680,11674,minimize,minim,minim,minim
6681,11675,victimize,victim,victim,victim
6682,11676,maximize,maxim,maxim,maxim
6683,11677,economize,econom,econom,econom
6684,11678,epitomize,epitom,epitom,epitom
6685,11685,recognize,recogn,recogn,recogn
6686,11687,antagonize,antagon,antagon,antagon
6687,11688,synchronize,synchron,synchron,synchron
6688,11689,patronize,patron,patron,patron
6689,11690,modernize,modern,modern,modern
6690,11691,fraternize,fratern,fratern,fratern
6691,11706,emphasize,emphas,emphas,emphas
6692,11707,synthesize,synthes,synthes,synthes
6693,11708,hypothesize,hypothes,hypothes,hypothes
6694,11709,dimesize,dimes,dimes,dimes
6695,11710,undersize,unders,unders,unders
6696,11711,oversize,overs,overs,overs
6697,11714,amortize,amort,amort,amort
6698,11715,heinze,heinz,heinz,heinz
6699,11716,bronze,bronz,bronz,bronz
6700,11717,bulldoze,bulldoz,bulldoz,bulldoz
6701,11718,ooze,ooz,ooz,ooz
6702,11719,booze,booz,booz,booz
6703,11721,mazowsze,mazowsz,mazowsz,mazowsz
6704,11722,gauze,gauz,gauz,gauz
6705,11725,nozze,nozz,nozz,nozz
6706,11726,f,f,f,f
6707,11727,af,af,af,af
6708,11728,deaf,deaf,deaf,deaf
6709,11729,sheaf,sheaf,sheaf,sheaf
6710,11730,theaf,theaf,theaf,theaf
6711,11731,leaf,leaf,leaf,leaf
6712,11732,whiteleaf,whiteleaf,whiteleaf,whiteleaf
6713,11733,greenleaf,greenleaf,greenleaf,greenleaf
6714,11734,olaf,olaf,olaf,olaf
6715,11735,loaf,loaf,loaf,loaf
6716,11736,raf,raf,raf,raf
6717,11737,gustaf,gustaf,gustaf,gustaf
6718,11738,mbf,mbf,mbf,mbf
6719,11739,cf,cf,cf,cf
6720,11740,rdf,rdf,rdf,rdf
6721,11741,def,def,def,def
6722,11742,beef,beef,beef,beef
6723,11743,reef,reef,reef,reef
6724,11744,chef,chef,chef,chef
6725,11745,chief,chief,chief,chief
6726,11746,tallchief,tallchief,tallchief,tallchief
6727,11747,kerchief,kerchief,kerchief,kerchief
6728,11748,handkerchief,handkerchief,handkerchief,handkerchief
6729,11749,mischief,mischief,mischief,mischief
6730,11750,thief,thief,thief,thief
6731,11754,brief,brief,brief,brief
6732,11755,grief,grief,grief,grief
6733,11756,ref,ref,ref,ref
6734,11757,josef,josef,josef,josef
6735,11758,pfaff,pfaff,pfaff,pfaff
6736,11759,graff,graff,graff,graff
6737,11760,staff,staff,staff,staff
6738,11761,hackstaff,hackstaff,hackstaff,hackstaff
6739,11762,falstaff,falstaff,falstaff,falstaff
6740,11763,prokofieff,prokofieff,prokofieff,prokofieff
6741,11764,brieff,brieff,brieff,brieff
6742,11765,jeff,jeff,jeff,jeff
6743,11766,diaghileff,diaghileff,diaghileff,diaghileff
6744,11767,macneff,macneff,macneff,macneff
6745,11768,whiff,whiff,whiff,whiff
6746,11769,skiff,skiff,skiff,skiff
6747,11770,cliff,cliff,cliff,cliff
6748,11771,ratcliff,ratcliff,ratcliff,ratcliff
6749,11772,bailiff,bailiff,bailiff,bailiff
6750,11773,sniff,sniff,sniff,sniff
6751,11774,tariff,tariff,tariff,tariff
6752,11775,sheriff,sheriff,sheriff,sheriff
6753,11776,plaintiff,plaintiff,plaintiff,plaintiff
6754,11777,pontiff,pontiff,pontiff,pontiff
6755,11778,stiff,stiff,stiff,stiff
6756,11779,mastiff,mastiff,mastiff,mastiff
6757,11780,wolff,wolff,wolff,wolff
6758,11781,off,off,off,off
6759,11782,wycoff,wycoff,wycoff,wycoff
6760,11783,vinogradoff,vinogradoff,vinogradoff,vinogradoff
6761,11784,takeoff,takeoff,takeoff,takeoff
6762,11785,breakoff,breakoff,breakoff,breakoff
6763,11786,kickoff,kickoff,kickoff,kickoff
6764,11787,pickoff,pickoff,pickoff,pickoff
6765,11788,wyckoff,wyckoff,wyckoff,wyckoff
6766,11789,chaikoff,chaikoff,chaikoff,chaikoff
6767,11790,arshinkoff,arshinkoff,arshinkoff,arshinkoff
6768,11791,falloff,falloff,falloff,falloff
6769,11792,roloff,roloff,roloff,roloff
6770,11793,milanoff,milanoff,milanoff,milanoff
6771,11794,milenoff,milenoff,milenoff,milenoff
6772,11795,rachmaninoff,rachmaninoff,rachmaninoff,rachmaninoff
6773,11796,turnoff,turnoff,turnoff,turnoff
6774,11797,runoff,runoff,runoff,runoff
6775,11798,tipoff,tipoff,tipoff,tipoff
6776,11799,philippoff,philippoff,philippoff,philippoff
6777,11800,rossoff,rossoff,rossoff,rossoff
6778,11801,cutoff,cutoff,cutoff,cutoff
6779,11802,playoff,playoff,playoff,playoff
6780,11803,payoff,payoff,payoff,payoff
6781,11804,buff,buff,buff,buff
6782,11805,rebuff,rebuff,rebuff,rebuff
6783,11806,cuff,cuff,cuff,cuff
6784,11807,scuff,scuff,scuff,scuff
6785,11808,huff,huff,huff,huff
6786,11809,bluff,bluff,bluff,bluff
6787,11810,fluff,fluff,fluff,fluff
6788,11811,muff,muff,muff,muff
6789,11812,nuff,nuff,nuff,nuff
6790,11813,puff,puff,puff,puff
6791,11814,powderpuff,powderpuff,powderpuff,powderpuff
6792,11815,woodruff,woodruff,woodruff,woodruff
6793,11816,gruff,gruff,gruff,gruff
6794,11817,stuff,stuff,stuff,stuff
6795,11818,yff,yff,yff,yff
6796,11819,ugf,ugf,ugf,ugf
6797,11820,nehf,nehf,nehf,nehf
6798,11826,alf,alf,alf,alf
6799,11827,calf,calf,calf,calf
6800,11828,half,half,half,half
6801,11829,behalf,behalf,behalf,behalf
6802,11830,shelf,shelf,shelf,shelf
6803,11831,bookshelf,bookshelf,bookshelf,bookshelf
6804,11832,self,self,self,self
6805,11833,oneself,oneself,oneself,oneself
6806,11834,unself,unself,unself,unself
6807,11835,ownself,ownself,ownself,ownself
6808,11836,hisself,hisself,hisself,hisself
6809,11837,adolf,adolf,adolf,adolf
6810,11838,rudolf,rudolf,rudolf,rudolf
6811,11839,golf,golf,golf,golf
6812,11840,bartholf,bartholf,bartholf,bartholf
6813,11841,wolf,wolf,wolf,wolf
6814,11842,gulf,gulf,gulf,gulf
6815,11843,cynewulf,cynewulf,cynewulf,cynewulf
6816,11844,beowulf,beowulf,beowulf,beowulf
6817,11845,mf,mf,mf,mf
6818,11846,imf,imf,imf,imf
6819,11847,thereof,thereof,thereof,thereof
6820,11848,whereof,whereof,whereof,whereof
6821,11849,lagerlof,lagerlof,lagerlof,lagerlof
6822,11850,hoof,hoof,hoof,hoof
6823,11851,aloof,aloof,aloof,aloof
6824,11852,spoof,spoof,spoof,spoof
6825,11853,roof,roof,roof,roof
6826,11854,proof,proof,proof,proof
6827,11855,bombproof,bombproof,bombproof,bombproof
6828,11856,soundproof,soundproof,soundproof,soundproof
6829,11857,reproof,reproof,reproof,reproof
6830,11858,foolproof,foolproof,foolproof,foolproof
6831,11859,burglarproof,burglarproof,burglarproof,burglarproof
6832,11860,weatherproof,weatherproof,weatherproof,weatherproof
6833,11861,waterproof,waterproof,waterproof,waterproof
6834,11862,shatterproof,shatterproof,shatterproof,shatterproof
6835,11863,rustproof,rustproof,rustproof,rustproof
6836,11864,prof,prof,prof,prof
6837,11865,hmpf,hmpf,hmpf,hmpf
6838,11866,dummkopf,dummkopf,dummkopf,dummkopf
6839,11867,schwarzkopf,schwarzkopf,schwarzkopf,schwarzkopf
6840,11868,rf,rf,rf,rf
6841,11869,arf,arf,arf,arf
6842,11870,scarf,scarf,scarf,scarf
6843,11871,wharf,wharf,wharf,wharf
6844,11872,dwarf,dwarf,dwarf,dwarf
6845,11873,waldorf,waldorf,waldorf,waldorf
6846,11874,dusseldorf,dusseldorf,dusseldorf,dusseldorf
6847,11875,langsdorf,langsdorf,langsdorf,langsdorf
6848,11876,surf,surf,surf,surf
6849,11877,turf,turf,turf,turf
6850,11878,csf,csf,csf,csf
6851,11879,nisf,nisf,nisf,nisf
6852,11880,dtf,dtf,dtf,dtf
6853,11881,codedtf,codedtf,codedtf,codedtf
6854,11882,auf,auf,auf,auf
6855,11883,duf,duf,duf,duf
6856,11884,nuf,nuf,nuf,nuf
6857,11885,iocsixf,iocsixf,iocsixf,iocsixf
6858,11886,yf,yf,yf,yf
6859,11887,g,g,g,g
6860,11888,bag,bag,bag,bag
6861,11893,dag,dag,dag,dag
6862,11894,gag,gag,gag,gag
6863,11895,shag,shag,shag,shag
6864,11896,jag,jag,jag,jag
6865,11897,lag,lag,lag,lag
6866,11899,flag,flag,flag,flag
6867,11901,mag,mag,mag,mag
6868,11902,snag,snag,snag,snag
6869,11903,hoag,hoag,hoag,hoag
6870,11904,rag,rag,rag,rag
6871,11905,brag,brag,brag,brag
6872,11906,drag,drag,drag,drag
6873,11907,sag,sag,sag,sag
6874,11908,tag,tag,tag,tag
6875,11909,stag,stag,stag,stag
6876,11912,bg,bg,bg,bg
6877,11913,bldg,bldg,bldg,bldg
6878,11914,eg,eg,eg,eg
6879,11915,beg,beg,beg,beg
