Snowball,Original,Porter,Lancaster
commi,['commies'],['commi'],['commy']
comming,['comminge'],['comming'],['com']
commingl,['commingled'],['commingl'],['commingl']
commiser,['commiserate'],['commiser'],['com']
commiss,"['commissioned', 'commission', 'commissions']","['commiss', 'commiss', 'commiss']","['commit', 'commit', 'commit']"
commissari,['commissary'],['commissari'],['commiss']
commission,"['commissioner', 'commissioners']","['commission', 'commission']","['commit', 'commit']"
commit,"['committed', 'committing', 'commits', 'commitments', 'commit', 'commitment']","['commit', 'commit', 'commit', 'commit', 'commit', 'commit']","['commit', 'commit', 'commit', 'commit', 'commit', 'commit']"
committ,['committment'],['committ'],['commit']
committe,"['committee', 'committees']","['committe', 'committe']","['commit', 'commit']"
committeeman,['committeeman'],['committeeman'],['committeem']
committeemen,['committeemen'],['committeemen'],['committeem']
committeewoman,['committeewoman'],['committeewoman'],['committeewom']
commod,"['commodities', 'commodity']","['commod', 'commod']","['commod', 'commod']"
commodor,['commodore'],['commodor'],['commod']
common,"['common', 'commoner', 'commons', 'commoners', 'commonness', 'commonly']","['common', 'common', 'common', 'common', 'common', 'commonli']","['common', 'common', 'common', 'common', 'common', 'common']"
commonest,['commonest'],['commonest'],['commonest']
commonplac,"['commonplace', 'commonplaces']","['commonplac', 'commonplac']","['commonplac', 'commonplac']"
commonw,['commonweal'],['commonw'],['commonw']
commonwealth,"['commonwealth', 'commonwealths']","['commonwealth', 'commonwealth']","['commonweal', 'commonwealth']"
commot,['commotion'],['commot'],['commot']
communal,['communal'],['commun'],['commun']
commune,"['commune', 'communes']","['commun', 'commun']","['commun', 'commun']"
communes,['communese'],['communes'],['communes']
communic,"['communicated', 'communicate', 'communicative', 'communicating', 'communicational', 'communication', 'communicator', 'communications', 'communicators']","['commun', 'commun', 'commun', 'commun', 'commun', 'commun', 'commun', 'commun', 'commun']","['commun', 'commun', 'commun', 'commun', 'commun', 'commun', 'commun', 'commun', 'commun']"
communion,['communion'],['communion'],['commun']
communiqu,['communiques'],['communiqu'],['commun']
communism,"['communism', 'communisms']","['commun', 'commun']","['commun', 'commun']"
communisn,['communisn'],['communisn'],['communisn']
communist,"['communistic', 'communists', 'communist']","['communist', 'communist', 'communist']","['commun', 'commun', 'commun']"
communiti,"['communities', 'communitys', 'community']","['commun', 'commun', 'commun']","['commun', 'commun', 'commun']"
communiz,['communize'],['commun'],['commun']
commut,"['commuted', 'commute', 'commuting', 'commutation', 'commuter', 'commutator', 'commutes']","['commut', 'commut', 'commut', 'commut', 'commut', 'commut', 'commut']","['commut', 'commut', 'commut', 'commut', 'commut', 'commut', 'commut']"
compact,"['compacts', 'compact', 'compactly']","['compact', 'compact', 'compactli']","['compact', 'compact', 'compact']"
compagni,['compagnie'],['compagni'],['compagny']
compani,"['companies', 'companys', 'company']","['compani', 'compani', 'compani']","['company', 'company', 'company']"
companion,"['companionable', 'companion', 'companions']","['companion', 'companion', 'companion']","['comp', 'comp', 'comp']"
companionship,['companionship'],['companionship'],['comp']
companionway,['companionway'],['companionway'],['companionway']
compar,"['compared', 'comparable', 'compare', 'comparative', 'comparing', 'compares', 'comparatively']","['compar', 'compar', 'compar', 'compar', 'compar', 'compar', 'compar']","['comp', 'comp', 'comp', 'comp', 'comp', 'comp', 'comp']"
comparison,"['comparison', 'comparisons']","['comparison', 'comparison']","['comparison', 'comparison']"
compart,"['compartments', 'compartment']","['compart', 'compart']","['compart', 'compart']"
compass,"['compassion', 'compass']","['compass', 'compass']","['compass', 'compass']"
compassion,"['compassionate', 'compassionately']","['compassion', 'compassion']","['compass', 'compass']"
compat,"['compatible', 'compatability']","['compat', 'compat']","['compat', 'comp']"
compatriot,"['compatriots', 'compatriot']","['compatriot', 'compatriot']","['compatriot', 'compatriot']"
compel,"['compelled', 'compelling', 'compel', 'compels']","['compel', 'compel', 'compel', 'compel']","['compel', 'compel', 'compel', 'compel']"
compendium,['compendium'],['compendium'],['compend']
compens,"['compensated', 'compensate', 'compensating', 'compensation', 'compensates', 'compensations']","['compens', 'compens', 'compens', 'compens', 'compens', 'compens']","['compens', 'compens', 'compens', 'compens', 'compens', 'compens']"
compensatori,['compensatory'],['compensatori'],['compens']
compet,"['competed', 'competence', 'compete', 'competing', 'competes', 'competent', 'competency', 'competently']","['compet', 'compet', 'compet', 'compet', 'compet', 'compet', 'compet', 'compet']","['compet', 'compet', 'compet', 'compet', 'compet', 'compet', 'compet', 'compet']"
competit,"['competitive', 'competition', 'competitively']","['competit', 'competit', 'competit']","['competit', 'competit', 'competit']"
competitor,"['competitor', 'competitors']","['competitor', 'competitor']","['competit', 'competit']"
compeyson,['compeyson'],['compeyson'],['compeyson']
compil,"['compiled', 'compile', 'compiling', 'compilation', 'compiler', 'compilations']","['compil', 'compil', 'compil', 'compil', 'compil', 'compil']","['compil', 'compil', 'compil', 'compil', 'compil', 'compil']"
complac,"['complacent', 'complacency']","['complac', 'complac']","['complac', 'complac']"
complain,"['complained', 'complaining', 'complain', 'complains', 'complainant']","['complain', 'complain', 'complain', 'complain', 'complain']","['complain', 'complain', 'complain', 'complain', 'complain']"
complaint,"['complaints', 'complaint']","['complaint', 'complaint']","['complaint', 'complaint']"
complais,"['complaisance', 'complaisant']","['complais', 'complais']","['compla', 'compla']"
compleat,['compleated'],['compleat'],['compl']
complect,['complection'],['complect'],['complect']
complement,"['complementing', 'complements', 'complement']","['complement', 'complement', 'complement']","['compl', 'compl', 'compl']"
complementari,['complementary'],['complementari'],['compl']
complet,"['completed', 'complete', 'completing', 'completion', 'completes', 'completions', 'completeness', 'completely']","['complet', 'complet', 'complet', 'complet', 'complet', 'complet', 'complet', 'complet']","['complet', 'complet', 'complet', 'complet', 'complet', 'complet', 'complet', 'complet']"
complex,"['complexities', 'complexes', 'complex', 'complexity']","['complex', 'complex', 'complex', 'complex']","['complex', 'complex', 'complex', 'complex']"
complexion,['complexion'],['complexion'],['complect']
compli,"['complied', 'complying', 'comply']","['compli', 'compli', 'compli']","['comply', 'comply', 'comply']"
complianc,['compliance'],['complianc'],['comply']
complic,"['complicated', 'complicate', 'complicating', 'complication', 'complications', 'complicity']","['complic', 'complic', 'complic', 'complic', 'complic', 'complic']","['comply', 'comply', 'comply', 'comply', 'comply', 'compl']"
compliment,"['complimented', 'complimenting', 'compliments', 'compliment']","['compliment', 'compliment', 'compliment', 'compliment']","['comply', 'comply', 'comply', 'comply']"
complimentari,['complimentary'],['complimentari'],['comply']
compon,"['components', 'component']","['compon', 'compon']","['compon', 'compon']"
comport,"['comported', 'comportment', 'comport']","['comport', 'comport', 'comport']","['comport', 'comport', 'comport']"
compos,"['composed', 'compose', 'composing', 'composer', 'composes', 'composers']","['compos', 'compos', 'compos', 'compos', 'compos', 'compos']","['compos', 'compos', 'compos', 'compos', 'compos', 'compos']"
composit,"['composite', 'compositional', 'composition', 'composites', 'compositions']","['composit', 'composit', 'composit', 'composit', 'composit']","['composit', 'composit', 'composit', 'composit', 'composit']"
compost,['compost'],['compost'],['compost']
composur,['composure'],['composur'],['compos']
compot,['compote'],['compot'],['compot']
compound,"['compounded', 'compound', 'compounding', 'compounds']","['compound', 'compound', 'compound', 'compound']","['compound', 'compound', 'compound', 'compound']"
comprehend,"['comprehended', 'comprehend', 'comprehending']","['comprehend', 'comprehend', 'comprehend']","['comprehend', 'comprehend', 'comprehend']"
comprehens,"['comprehensive', 'comprehension', 'comprehensively']","['comprehens', 'comprehens', 'comprehens']","['comprehend', 'comprehend', 'comprehend']"
compress,"['compressed', 'compressive', 'compressing', 'compression', 'compresses', 'compress', 'compressibility']","['compress', 'compress', 'compress', 'compress', 'compress', 'compress', 'compress']","['compress', 'compress', 'compress', 'compress', 'compress', 'compress', 'compress']"
compressor,['compressor'],['compressor'],['compress']
compris,"['comprised', 'comprise', 'comprising', 'comprises']","['compris', 'compris', 'compris', 'compris']","['compr', 'compr', 'compr', 'compr']"
compromis,"['compromised', 'compromise', 'compromising', 'compromises']","['compromis', 'compromis', 'compromis', 'compromis']","['comprom', 'comprom', 'comprom', 'comprom']"
compson,['compson'],['compson'],['compson']
comptrol,['comptroller'],['comptrol'],['comptrol']
compuls,"['compulsive', 'compulsion', 'compulsives', 'compulsions', 'compulsively', 'compulsivity']","['compuls', 'compuls', 'compuls', 'compuls', 'compuls', 'compuls']","['compuls', 'compuls', 'compuls', 'compuls', 'compuls', 'compuls']"
compulsori,['compulsory'],['compulsori'],['compuls']
comput,"['computed', 'compute', 'computing', 'computational', 'computation', 'computer', 'computes', 'computations', 'computers']","['comput', 'comput', 'comput', 'comput', 'comput', 'comput', 'comput', 'comput', 'comput']","['comput', 'comput', 'comput', 'comput', 'comput', 'comput', 'comput', 'comput', 'comput']"
comrad,"['comrade', 'comrades']","['comrad', 'comrad']","['comrad', 'comrad']"
comradeship,['comradeship'],['comradeship'],['comrad']
comro,['comroe'],['comro'],['comro']
comus,['comus'],['comu'],['com']
con,"['conned', 'conning', 'con', 'cons']","['con', 'con', 'con', 'con']","['con', 'con', 'con', 'con']"
conan,['conan'],['conan'],['con']
conant,"['conants', 'conant']","['conant', 'conant']","['con', 'con']"
concav,['concave'],['concav'],['concav']
conceal,"['concealed', 'concealing', 'conceal', 'conceals', 'concealment']","['conceal', 'conceal', 'conceal', 'conceal', 'conceal']","['cont', 'cont', 'cont', 'cont', 'cont']"
conced,"['conceded', 'concede', 'conceding', 'concedes', 'concededly']","['conced', 'conced', 'conced', 'conced', 'concededli']","['cont', 'cont', 'cont', 'cont', 'cont']"
conceit,"['conceited', 'conceits']","['conceit', 'conceit']","['conceit', 'conceit']"
conceiv,"['conceived', 'conceivable', 'conceive', 'conceiving', 'conceives', 'conceivably']","['conceiv', 'conceiv', 'conceiv', 'conceiv', 'conceiv', 'conceiv']","['conceiv', 'conceiv', 'conceiv', 'conceiv', 'conceiv', 'conceiv']"
concentr,"['concentric', 'concentrated', 'concentrate', 'concentrating', 'concentration', 'concentrates', 'concentrations']","['concentr', 'concentr', 'concentr', 'concentr', 'concentr', 'concentr', 'concentr']","['cont', 'cont', 'cont', 'cont', 'cont', 'cont', 'cont']"
concept,"['conception', 'conceptions', 'concepts', 'concept']","['concept', 'concept', 'concept', 'concept']","['conceiv', 'conceiv', 'conceiv', 'conceiv']"
conceptu,"['conceptual', 'conceptualization', 'conceptually', 'conceptuality']","['conceptu', 'conceptu', 'conceptu', 'conceptu']","['conceiv', 'conceiv', 'conceiv', 'conceiv']"
concern,"['concerned', 'concerning', 'concern', 'concerns']","['concern', 'concern', 'concern', 'concern']","['concern', 'concern', 'concern', 'concern']"
concert,"['concerted', 'concerts', 'concert']","['concert', 'concert', 'concert']","['concert', 'concert', 'concert']"
concertant,['concertante'],['concertant'],['concert']
concerti,['concerti'],['concerti'],['concert']
concertina,['concertina'],['concertina'],['concertin']
concertmast,['concertmaster'],['concertmast'],['concertmast']
concerto,"['concerto', 'concertos']","['concerto', 'concerto']","['concerto', 'concerto']"
concess,"['concession', 'concessions']","['concess', 'concess']","['concess', 'concess']"
concessionair,"['concessionaire', 'concessionaires']","['concessionair', 'concessionair']","['concessionair', 'concessionair']"
concetta,"['concetta', 'concettas']","['concetta', 'concetta']","['concett', 'concetta']"
conchita,['conchita'],['conchita'],['conchit']
concierg,['concierge'],['concierg'],['concierg']
concili,"['conciliate', 'conciliator']","['concili', 'concili']","['cont', 'cont']"
conciliatori,['conciliatory'],['conciliatori'],['cont']
concis,"['concise', 'conciseness']","['concis', 'concis']","['cont', 'cont']"
conclav,['conclave'],['conclav'],['conclav']
conclud,"['concluded', 'conclude', 'concluding', 'concludes']","['conclud', 'conclud', 'conclud', 'conclud']","['conclud', 'conclud', 'conclud', 'conclud']"
conclus,"['conclusive', 'conclusion', 'conclusions', 'conclusively']","['conclus', 'conclus', 'conclus', 'conclus']","['conclud', 'conclud', 'conclud', 'conclud']"
concoct,['concocted'],['concoct'],['concoct']
concord,"['concord', 'concordance', 'concorde', 'concordant']","['concord', 'concord', 'concord', 'concord']","['concord', 'concord', 'concord', 'concord']"
concret,"['concrete', 'concretely']","['concret', 'concret']","['concret', 'concret']"
concretist,['concretistic'],['concretist'],['concret']
concur,"['concurred', 'concur', 'concurs']","['concur', 'concur', 'concur']","['concur', 'cont', 'cont']"
concurr,"['concurrence', 'concurrent', 'concurrently']","['concurr', 'concurr', 'concurr']","['concur', 'concur', 'concur']"
concuss,['concussion'],['concuss'],['concuss']
condamin,['condamine'],['condamin'],['condamin']
condemn,"['condemned', 'condemning', 'condemn', 'condemnation', 'condemns']","['condemn', 'condemn', 'condemn', 'condemn', 'condemn']","['condemn', 'condemn', 'condemn', 'condemn', 'condemn']"
condemnatori,['condemnatory'],['condemnatori'],['condemn']
condens,"['condensed', 'condense', 'condensing', 'condensation', 'condenser']","['condens', 'condens', 'condens', 'condens', 'condens']","['condens', 'condens', 'condens', 'condens', 'condens']"
condescend,['condescending'],['condescend'],['condescend']
condescens,['condescension'],['condescens'],['condescend']
condicion,['condicions'],['condicion'],['cond']
condiment,['condiments'],['condiment'],['condy']
condit,"['conditioned', 'conditioning', 'conditional', 'condition', 'conditions']","['condit', 'condit', 'condit', 'condit', 'condit']","['condit', 'condit', 'condit', 'condit', 'condit']"
condition,"['conditioner', 'conditioners']","['condition', 'condition']","['condit', 'condit']"
condliff,['condliffe'],['condliff'],['condliff']
condol,['condolences'],['condol'],['condol']
condon,['condoned'],['condon'],['condon']
conduc,['conducive'],['conduc'],['conduc']
conduct,"['conducted', 'conducting', 'conduction', 'conducts', 'conduct', 'conductivity']","['conduct', 'conduct', 'conduct', 'conduct', 'conduct', 'conduct']","['conduc', 'conduc', 'conduc', 'conduc', 'conduc', 'conduc']"
conductor,"['conductor', 'conductors']","['conductor', 'conductor']","['conduc', 'conduc']"
conduit,['conduit'],['conduit'],['conduit']
cone,"['cone', 'coning', 'cones']","['cone', 'cone', 'cone']","['con', 'con', 'con']"
conelrad,['conelrad'],['conelrad'],['conelrad']
coner,['coners'],['coner'],['con']
conestoga,['conestoga'],['conestoga'],['conestog']
coney,['coney'],['coney'],['coney']
confabul,"['confabulated', 'confabulation', 'confabulations']","['confabul', 'confabul', 'confabul']","['confab', 'confab', 'confab']"
confeder,"['confederate', 'confederation', 'confederates', 'confederations']","['confeder', 'confeder', 'confeder', 'confeder']","['conf', 'conf', 'conf', 'conf']"
confederaci,['confederacy'],['confederaci'],['conf']
confer,"['conferred', 'conference', 'conferring', 'confer', 'conferences', 'confers']","['confer', 'confer', 'confer', 'confer', 'confer', 'confer']","['confer', 'conf', 'confer', 'conf', 'conf', 'conf']"
confere,['conferees'],['confere'],['conf']
confess,"['confessed', 'confessing', 'confession', 'confesses', 'confessions', 'confess']","['confess', 'confess', 'confess', 'confess', 'confess', 'confess']","['confess', 'confess', 'confess', 'confess', 'confess', 'confess']"
confession,"['confessional', 'confessionals']","['confession', 'confession']","['confess', 'confess']"
confessor,['confessor'],['confessor'],['confess']
confid,"['confided', 'confidence', 'confide', 'confiding', 'confidences', 'confidant', 'confident', 'confidently']","['confid', 'confid', 'confid', 'confid', 'confid', 'confid', 'confid', 'confid']","['confid', 'confid', 'confid', 'confid', 'confid', 'confid', 'confid', 'confid']"
confidant,['confidante'],['confidant'],['confid']
confidenti,"['confidential', 'confidentially', 'confidentiality']","['confidenti', 'confidenti', 'confidenti']","['confid', 'confid', 'confid']"
configur,"['configuration', 'configurations']","['configur', 'configur']","['config', 'config']"
confin,"['confined', 'confine', 'confining', 'confines', 'confinements', 'confinement']","['confin', 'confin', 'confin', 'confin', 'confin', 'confin']","['confin', 'confin', 'confin', 'confin', 'confin', 'confin']"
confirm,"['confirmed', 'confirming', 'confirm', 'confirmation', 'confirms']","['confirm', 'confirm', 'confirm', 'confirm', 'confirm']","['confirm', 'confirm', 'confirm', 'confirm', 'confirm']"
confisc,"['confiscated', 'confiscating']","['confisc', 'confisc']","['confisc', 'confisc']"
conflagr,['conflagration'],['conflagr'],['conflagr']
conflict,"['conflicting', 'conflicts', 'conflict']","['conflict', 'conflict', 'conflict']","['conflict', 'conflict', 'conflict']"
confluent,['confluent'],['confluent'],['conflu']
conform,"['conformed', 'conformance', 'conformational', 'conform', 'conformation', 'conforms', 'conformations', 'conformity']","['conform', 'conform', 'conform', 'conform', 'conform', 'conform', 'conform', 'conform']","['conform', 'conform', 'conform', 'conform', 'conform', 'conform', 'conform', 'conform']"
conformist,"['conformists', 'conformist']","['conformist', 'conformist']","['conform', 'conform']"
confound,"['confounded', 'confounding']","['confound', 'confound']","['confound', 'confound']"
confrer,['confreres'],['confrer'],['confr']
confront,"['confronted', 'confronting', 'confrontation', 'confrontations', 'confronts', 'confront']","['confront', 'confront', 'confront', 'confront', 'confront', 'confront']","['confront', 'confront', 'confront', 'confront', 'confront', 'confront']"
confucian,"['confucianism', 'confucian']","['confucian', 'confucian']","['confuc', 'confuc']"
confucius,['confucius'],['confuciu'],['confuci']
confus,"['confused', 'confuse', 'confusing', 'confusion', 'confuses', 'confusions']","['confus', 'confus', 'confus', 'confus', 'confus', 'confus']","['confus', 'confus', 'confus', 'confus', 'confus', 'confus']"
confusin,['confusin'],['confusin'],['confusin']
confut,['confuted'],['confut'],['confut']
cong,['cong'],['cong'],['cong']
congdon,['congdon'],['congdon'],['congdon']
congeal,['congealed'],['congeal'],['cong']
congeni,"['congenial', 'congeniality']","['congeni', 'congeni']","['cong', 'cong']"
congenit,['congenital'],['congenit'],['congenit']
congest,"['congested', 'congestive', 'congestion']","['congest', 'congest', 'congest']","['congest', 'congest', 'congest']"
congo,"['congo', 'congos']","['congo', 'congo']","['congo', 'congo']"
congoles,['congolese'],['congoles'],['congoles']
congratul,"['congratulated', 'congratulate', 'congratulation', 'congratulations']","['congratul', 'congratul', 'congratul', 'congratul']","['congrat', 'congrat', 'congrat', 'congrat']"
congratulatori,['congratulatory'],['congratulatori'],['congrat']
congreg,"['congregated', 'congregate', 'congregational', 'congregationalism', 'congregation', 'congregations']","['congreg', 'congreg', 'congreg', 'congregation', 'congreg', 'congreg']","['congreg', 'congreg', 'congreg', 'congreg', 'congreg', 'congreg']"
congregationalist,"['congregationalists', 'congregationalist']","['congregationalist', 'congregationalist']","['congreg', 'congreg']"
congress,"['congresses', 'congress']","['congress', 'congress']","['congress', 'congress']"
congression,['congressional'],['congression'],['congress']
congressman,"['congressman', 'congressmans']","['congressman', 'congressman']","['congressm', 'congressm']"
congressmen,['congressmen'],['congressmen'],['congressm']
congresswoman,['congresswoman'],['congresswoman'],['congresswom']
congruenc,['congruence'],['congruenc'],['congru']
congruent,['congruent'],['congruent'],['congru']
conic,['conic'],['conic'],['con']
conjectur,"['conjectured', 'conjecture', 'conjectures']","['conjectur', 'conjectur', 'conjectur']","['conject', 'conject', 'conject']"
conjoin,['conjoined'],['conjoin'],['conjoin']
conjug,"['conjugated', 'conjugate', 'conjugating', 'conjugal', 'conjugation', 'conjugates']","['conjug', 'conjug', 'conjug', 'conjug', 'conjug', 'conjug']","['conjug', 'conjug', 'conjug', 'conjug', 'conjug', 'conjug']"
conjunct,"['conjunction', 'conjunctions']","['conjunct', 'conjunct']","['conjunct', 'conjunct']"
conjur,"['conjured', 'conjure', 'conjures']","['conjur', 'conjur', 'conjur']","['cond', 'cond', 'cond']"
conlow,['conlow'],['conlow'],['conlow']
conn,['conn'],['conn'],['con']
connal,"['connall', 'connally']","['connal', 'connal']","['connal', 'con']"
conneaut,['conneaut'],['conneaut'],['conneaut']
connect,"['connected', 'connective', 'connecting', 'connection', 'connections', 'connects', 'connect']","['connect', 'connect', 'connect', 'connect', 'connect', 'connect', 'connect']","['connect', 'connect', 'connect', 'connect', 'connect', 'connect', 'connect']"
connecticut,"['connecticuts', 'connecticut']","['connecticut', 'connecticut']","['connecticut', 'connecticut']"
connel,['connell'],['connel'],['connel']
connelli,['connelly'],['connelli'],['connel']
connexion,['connexion'],['connexion'],['connect']
conni,['connie'],['conni'],['conny']
conniv,"['connivance', 'conniver']","['conniv', 'conniv']","['con', 'con']"
connoisseur,"['connoisseur', 'connoisseurs']","['connoisseur', 'connoisseur']","['connoiss', 'connoiss']"
connolli,['connollys'],['connolli'],['connol']
connor,['connor'],['connor'],['con']
connot,"['connote', 'connotation', 'connotes', 'connotations']","['connot', 'connot', 'connot', 'connot']","['connot', 'connot', 'connot', 'connot']"
conpir,['conpired'],['conpir'],['conpir']
conquer,"['conquered', 'conquering', 'conquer']","['conquer', 'conquer', 'conquer']","['conqu', 'conqu', 'conqu']"
conqueror,"['conqueror', 'conquerors']","['conqueror', 'conqueror']","['conqu', 'conqu']"
conquest,"['conquests', 'conquest']","['conquest', 'conquest']","['conquest', 'conquest']"
conquet,['conquete'],['conquet'],['conquet']
conrad,"['conrad', 'conrads']","['conrad', 'conrad']","['conrad', 'conrad']"
consanguin,"['consanguineous', 'consanguineously', 'consanguinity']","['consanguin', 'consanguin', 'consanguin']","['consanguin', 'consanguin', 'consanguin']"
conscienc,"['conscience', 'consciences']","['conscienc', 'conscienc']","['conscy', 'conscy']"
conscienti,['conscientious'],['conscienti'],['conscienty']
conscion,['conscionable'],['conscion'],['consc']
conscious,"['consciousness', 'conscious', 'consciously']","['conscious', 'consciou', 'conscious']","['conscy', 'conscy', 'conscy']"
conscript,"['conscripted', 'conscription', 'conscript']","['conscript', 'conscript', 'conscript']","['conscrib', 'conscrib', 'conscrib']"
consder,['consderations'],['consder'],['consd']
consecr,['consecration'],['consecr'],['consecr']
consecut,['consecutive'],['consecut'],['consecut']
conseil,['conseil'],['conseil'],['conseil']
consensus,['consensus'],['consensu'],['consens']
consent,"['consented', 'consenting', 'consent']","['consent', 'consent', 'consent']","['cons', 'cons', 'cons']"
consequ,"['consequence', 'consequences', 'consequent', 'consequently']","['consequ', 'consequ', 'consequ', 'consequ']","['consequ', 'consequ', 'consequ', 'consequ']"
consequenti,['consequential'],['consequenti'],['consequ']
conserv,"['conservative', 'conserve', 'conserving', 'conservation', 'conservatives', 'conserves', 'conservatively']","['conserv', 'conserv', 'conserv', 'conserv', 'conserv', 'conserv', 'conserv']","['conserv', 'conserv', 'conserv', 'conserv', 'conserv', 'conserv', 'conserv']"
conservat,['conservatism'],['conservat'],['conserv']
conservationist,['conservationist'],['conservationist'],['conserv']
conservatori,['conservatory'],['conservatori'],['conserv']
consid,"['considered', 'considering', 'consider', 'considers']","['consid', 'consid', 'consid', 'consid']","['consid', 'consid', 'consid', 'consid']"
consider,"['considerable', 'considerate', 'consideration', 'considerations', 'considerably', 'considerately']","['consider', 'consider', 'consider', 'consider', 'consider', 'consider']","['consid', 'consid', 'consid', 'consid', 'consid', 'consid']"
considerin,['considerin'],['considerin'],['considerin']
consign,"['consigned', 'consign']","['consign', 'consign']","['consign', 'consign']"
consis,['consisently'],['consis'],['cons']
consist,"['consisted', 'consistence', 'consisting', 'consists', 'consistent', 'consist', 'consistency', 'consistently']","['consist', 'consist', 'consist', 'consist', 'consist', 'consist', 'consist', 'consist']","['consist', 'consist', 'consist', 'consist', 'consist', 'consist', 'consist', 'consist']"
consitut,['consitutional'],['consitut'],['consitut']
consol,"['consoled', 'consoling', 'consolation', 'consoles']","['consol', 'consol', 'consol', 'consol']","['consol', 'consol', 'consol', 'consol']"
consolid,"['consolidated', 'consolidate', 'consolidating', 'consolidation']","['consolid', 'consolid', 'consolid', 'consolid']","['consolid', 'consolid', 'consolid', 'consolid']"
conson,"['consonance', 'consonants', 'consonant']","['conson', 'conson', 'conson']","['conson', 'conson', 'conson']"
consonant,['consonantal'],['consonant'],['conson']
consort,"['consorted', 'consorting', 'consort']","['consort', 'consort', 'consort']","['consort', 'consort', 'consort']"
conspicu,"['conspicuous', 'conspicuously']","['conspicu', 'conspicu']","['conspicu', 'conspicu']"
conspir,"['conspired', 'conspire', 'conspires', 'conspirators']","['conspir', 'conspir', 'conspir', 'conspir']","['conspir', 'conspir', 'conspir', 'conspir']"
conspiraci,"['conspiracies', 'conspiracy']","['conspiraci', 'conspiraci']","['conspir', 'conspir']"
conspiratori,['conspiratorial'],['conspiratori'],['conspir']
constabl,"['constable', 'constables']","['constabl', 'constabl']","['const', 'const']"
constanc,"['constance', 'constancy']","['constanc', 'constanc']","['const', 'const']"
constant,"['constants', 'constant', 'constantly']","['constant', 'constant', 'constantli']","['const', 'const', 'const']"
constantin,"['constantine', 'constantin']","['constantin', 'constantin']","['constantin', 'constantin']"
constantino,"['constantino', 'constantinos']","['constantino', 'constantino']","['constantino', 'constantino']"
constantinopl,['constantinople'],['constantinopl'],['constantinopl']
constat,['constatation'],['constat'],['const']
constel,['constellations'],['constel'],['constel']
constern,['consternation'],['constern'],['constern']
constitu,"['constituencies', 'constituents', 'constituent', 'constituency']","['constitu', 'constitu', 'constitu', 'constitu']","['constitu', 'constitu', 'constitu', 'constitu']"
constitut,"['constituted', 'constitute', 'constituting', 'constitutional', 'constitution', 'constitutes', 'constitutions']","['constitut', 'constitut', 'constitut', 'constitut', 'constitut', 'constitut', 'constitut']","['constitut', 'constitut', 'constitut', 'constitut', 'constitut', 'constitut', 'constitut']"
constrain,"['constrained', 'constraining']","['constrain', 'constrain']","['constrain', 'constrain']"
constraint,['constraint'],['constraint'],['constraint']
constrict,"['constricted', 'constricting', 'constriction', 'constrictions']","['constrict', 'constrict', 'constrict', 'constrict']","['constrict', 'constrict', 'constrict', 'constrict']"
constrictor,"['constrictor', 'constrictors']","['constrictor', 'constrictor']","['constrict', 'constrict']"
constru,"['construed', 'construe', 'construing']","['constru', 'constru', 'constru']","['constru', 'constru', 'constru']"
construct,"['constructed', 'constructive', 'constructing', 'constructional', 'construction', 'constructions', 'construct', 'constructively']","['construct', 'construct', 'construct', 'construct', 'construct', 'construct', 'construct', 'construct']","['construct', 'construct', 'construct', 'construct', 'construct', 'construct', 'construct', 'construct']"
consul,"['consulate', 'consul']","['consul', 'consul']","['cons', 'cons']"
consular,['consular'],['consular'],['consul']
consult,"['consulted', 'consultative', 'consulting', 'consultation', 'consultations', 'consultants', 'consult', 'consultant']","['consult', 'consult', 'consult', 'consult', 'consult', 'consult', 'consult', 'consult']","['consult', 'consult', 'consult', 'consult', 'consult', 'consult', 'consult', 'consult']"
consum,"['consumed', 'consume', 'consuming', 'consumer', 'consumes', 'consumers']","['consum', 'consum', 'consum', 'consum', 'consum', 'consum']","['consum', 'consum', 'consum', 'consum', 'consum', 'consum']"
consumm,"['consummated', 'consummate', 'consummation', 'consummately']","['consumm', 'consumm', 'consumm', 'consumm']","['consum', 'consum', 'consum', 'consum']"
consumpt,"['consumptive', 'consumption']","['consumpt', 'consumpt']","['consum', 'consum']"
contact,"['contacted', 'contacting', 'contacts', 'contact']","['contact', 'contact', 'contact', 'contact']","['contact', 'contact', 'contact', 'contact']"
contadini,['contadini'],['contadini'],['contadin']
contagi,['contagious'],['contagi'],['contagy']
contagion,['contagion'],['contagion'],['cont']
contain,"['contained', 'containing', 'contain', 'container', 'contains', 'containers', 'containment']","['contain', 'contain', 'contain', 'contain', 'contain', 'contain', 'contain']","['contain', 'contain', 'contain', 'contain', 'contain', 'contain', 'contain']"
contamin,"['contaminated', 'contaminate', 'contaminating', 'contamination']","['contamin', 'contamin', 'contamin', 'contamin']","['contamin', 'contamin', 'contamin', 'contamin']"
contempl,"['contemplated', 'contemplate', 'contemplative', 'contemplating', 'contemplation', 'contemplates']","['contempl', 'contempl', 'contempl', 'contempl', 'contempl', 'contempl']","['contempl', 'contempl', 'contempl', 'contempl', 'contempl', 'contempl']"
contemporari,"['contemporaries', 'contemporary']","['contemporari', 'contemporari']","['contemp', 'contemp']"
contempt,"['contemptible', 'contempt']","['contempt', 'contempt']","['contempt', 'contempt']"
contemptu,"['contemptuous', 'contemptuously']","['contemptu', 'contemptu']","['contemptu', 'contemptu']"
